label,text
FORM,"NEWPORT RACING EVENT SURVEY

Location _Leguna Seca, Monterey, Ca Division San_Jose/933
Date(s) September 10, 1995 Division Mgr .t.L. Roberts

Date Submitted SePtember 26, 1995

- (submit by 30 days aier event)
‘Promotion Quantity: ~™“Tnvitations:

Mugs 720 # Requested __50
Displays (8) GO= Date Notified ~ 975795
Floor (40) 20 Date Ordered Unknown
Posters ""100 —
Date Rec'd 6/12/95 Date Rec'd 9/6/95

# Displays Placed: Attendees:

Counter _As # Customers Invited _ 40

Floor # Customers Attended _3>

Posters # Lorillard Personnel Tt

very uch for the tickets, we had a great time” Rogers Liquor,
Marina California.

ie eeally appreciate Lorillard thinking of us.” Shiffert's Wholesale,
____Visalia, California. ~
“Thank you so much for the invitations...ke hada great time.” Mission
Trail oil 6 (Rotten Rabhie Stores) Jos iifornia

ibe races were great, the Newport Hospitality area was terrific"".

Coremark, Sacramento, California.

‘Race Day lito: “Event Attendance_o0, 000+ Hospitaty Tent Attendance 35-40

x

Cleanliness x
Service

x
Fair Average Excellent

‘Suggestions / Recommendations:
Perhaps the tickets could be sent out a little sooner. This year
the tickets arrived on Thursday and the race was Sunday. This
made it difficult to get the tickets to customers on time.

eceteozs

ce: RP. Bonomo"
FORM,"DATE

FROM:
TRUE

$3.00 CARTON COUPON PROMOTION

PROMOTIONAL PERIOD: May-June 1992
‘CONSUMER OFFER: $3 Off Store Redeemable Carton Coupon
DISPLAY BRANDS: TRUE (All Packings)
DISPLAY AGREEMENT: Lorillard Sales Representative will supply all display materials and
assemble display. Display containing deals will be placed on
a sell-service basis for a twoweek period.

‘AUTHORIZATION FOR PLACEMENT

TYPE DISPLAY NO. CARTONS:
COUNTER,
FLOOR
POSTER (+ if approved)

DATE: FROM To

STORES PARTICIPATING:

‘THE FOLLOWING QUANTITY OF TRUE CARTONS MUST BE AVAILABLE FOR THE LORILLARD SALES
REPRESENTATIVE TO ASSEMBLE THE DISPLAY ON THE DATE INDICATED ABOVE.

‘TRUE
NUMBER NUMBER
PACKING OF CARTONS PACKING OF CARTONS

FILTERKS, = _________— MENTHOL KS.
FILTER 100's MENTHOL 100's

BOX 80's BOX 100's 2

onsen) cca é

o

MERCHANDISE: é

WILL BE ARBITRARILY SHIPPED TO STORE.
ORDER, THROUGH YOUR SUPPLIER.

Authorized by:"
FORM,"SOUPON CODE REGISTRATION FORM

rows, pt: ta Valle
TO: XS, A. Rapisarldi

ce: R. G. Ryan
c

‘TRUE

- Brand(s) Applicable
- Media Type On-Carton Instant Redeemable

- Media Nane

|

= Issue Frequency/Year
= *Space/color

= Coupon Issue Date 10/90

- Coupon Expiration pate 6/30/91

- Circulation (#) 1,213,400

- Geographical Area(s) 2

- Coupen Value

- Pack and/or Carton?

- | *Advertising Creative Title True Filter King Carton

- Date Initiated

ely by packing as indicated

“ mauyTT tse 1

FOR CONTROL USE ONLY:
code assignea AIC 98 ©
Job Number. Li 2—

6POEESLS"
FORM,"AMES ASSAY FOR MUTAGENICITY

Diethyl 3,3-Dimethyl-2-oxo-1,4-cyclopentanedicarboxylate

coumouno
sounce LOxillard - Organic Chemistry ....,.,, A123 torn, ORS7=13
Jonre neceneo, _ Unknown resteo 3/18/81-4/8/81  gecomrep, ___ 4/14/81

H. S. Tong & A. A. Poole Bc19-25

lwesricaronsy NoteB0OK Pace,

Tox os SURVIVAL) 2 * 100 SOLENT: 3 oMsO; ©) WATER.
CONCENTRATION gin 025 ener
ss ise | ose se | ise cise oss use

save (0s ms socveny

9.67 | 14.00 fi18.00 |127.00| 9.00 | 21.00

[coMPouNo ion REVERSION RATE _(TEST REVERTANTS-CONTAOL REVERTANTS PEA PLATE)
25 +76 87 265
12.5 2.10] 1.12| 1.07 +82| 78 271
6.25 +52 88 286

ostie conTaO.

ent
4.0 72 | 3.07 «98 4.26] 22 | 20.10
2.0 1.24 | 2.86 76] 3.63} 67 | 18.81
Streptozotocin

1.0 6.41 [31.14] 1.60] 3.11)

0.5) 2.28 [12.29] 1.08] 1.99

lconciusion This compound is judged non-mutagenic in this test system.

Copies to the following: H. J, Minnemeyer
L. B. Gray

- =)

TORLLARD REGEARGN CENTER

CPSeL.0to"
FORM,"; Newport pleas,

SPECIAL EVENT INFORMATION SHEET

GENERAL INFORMATIO!

EVENT NAME: Upper Madison Avenue Festival

EVENT LOCATION: 68th <86th street,

EVENT DATES: June 4, 1995

HOURS:

MONDAY-FRIDAY:

SATURDAY-SUNDAY: —L1an =

0 # OF BOOTH(S} OSIGNAGE
CU SAMPLING & PREMIUMS Cmusic vAN
1 PREMIUMS ONLY TRACING CAR

SUPERVISOR INFORMATION:

NAME OF ALLWAYS SUPERVISOR: ___erome Curr, _
PHONE NUMBER: (201) 923-9708 _BEEPER NUMBER: _(201) 698=1780

ure!

8
a
&
8
g
s"
FORM,"CHANGE OF AUTHORIZED COST
12-4-87 No. c-51

Description: _CAPRI A&U EXPANSION - CALIFORNIA: WAVE 2 (87-113),

WAVE 3 (87-114) AND WAVE 4 (87-115)

Supplier: Kapuler Marketing Research
Previous $ Commitments This Project $__212,475 £10%
Amt. of Change: Increase __ Decrease __$_NA ( % Change)
Adjusted Total Cost of Project: $_212,475 410%
Reasons:
Adjustment due to timing of projects falling
into 1988.
PROJECTED: Summary of Research Budget
1987
Internal Init. Date Total Area Budget: 780, 900, 00
Ext. Auth, Date Current Balance Available: _ (886, 220,53)
Field Complete This Change: +14, 165,00
(From Current Budget)
Fina) Report Due
(Supplier Rpt.) This Amount 14,165.00
(From Next Year's Budget)
Com-
Start plete __FR
87-113 (70,825) 9/23 10/11 11/1éNew Balance: (872, 055,53)
87-114 (70,825) 10/13 10/29 12/7
87-115 (70,825) 11/16 12/7 1/11
Committed To Date: 1,652, 955.53
Submitted By:__S.L, Willinger Date 12-4-87
Approved by: Date
Approved By: Date
Approved By: Date
Budget Checks Date 2a/2/¥7
KF, byl
Origina’ - Project File
cc: S. Willinger (3) Project No. 1987-113/114/115-CA
 D. Raphael
V. Hansberry (If Int.) Account Name CAPRI

000008 4965915249"
FORM,"shane 06)
(Race Rete: 30.069) Aeowm 4 vatamgon Toeace Geporaton

Request For Home Office Check

[Bamix ne 20182 ise Check Reqred | Wa Chock Tor PLEASE OVERNIGHT t2
[Gran Ne [ASAP / PROMPT X Payee
gue
_
Pay To: _COREMARK INTERNATIONAL Taeie  coperaton?
“Nterien DAVID DRESSER Yea Ne
‘Ravens 296 OYSTER PONT BLVD SUITE 415 x
Ch ood
Er Feta Enola otcton et
on
| Sa as RSS EET TPR TIENT HE TST Ge
— _____
Pramaen Pranatan | rometon
Name epee | gode | Quarty | Unita] Avaree | __ Amour
[Gee BUYDOWN PROGRAMS a8 es soso | erms | $284 $143,522 8)
SEE ATTACHED
Secion TN Cha Walgreens | 256. Te | ese [ ems | 209 ATA
Prove Date ‘arch 15. 10,1088 eck Tort | 166000.00
[charge To Section” PERATIAGHED
[Reqoened 87 Rabon E Muhorn Core Ot Co
Rebet E Mather cazese | 39A00A 0807
[verfeaton ee enc #__accourt Wont
et [chock 7 [Check Owt_[Pay Herc
‘Account Nar ‘Deserpton | Account # | Department | Product [Business Unit] rout |
Hraucher appro lows —_(Preared [Pay Terme - 0500,
i Pay Metred- Check
isbuton, Faxto Fall Parrots a (502) 508-7826
ree 6
24 1998 16:16 pase.02
210180429

PRODUCED FROM B&W WEB SITE"
FORM,"“STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS
Office of the Secretary of State

""7"" pames R Langevin, Secretary of Stare

Room 43, State House
Providence, Rhode Island 02903-1105

Monthly Organization/Employer Report ”?”""2?
Due the It Monday ofthe month daring the legislative session to report the previous months’ activi.
Reporting Period: Month of _May
Organization/Bmployer Name:__R._J. Reynolds Tobacco

Lobbyist Name: Peter J. MeGina

fany addresses or telephone numbers have changed since the last reporting period please check
here___and note the change in the space provided atthe end of this form,

Compensation/Exy

Have you paid any type of compensation or incurred any obigtion for payment to the above named
lobbyist for lobbying? (yes orn0} _xo_. Ifyes please complete the following.

Compensation received for 5 inet: $

Par of salary received fr lobby Retain: $a
‘Amount eamed but not receive Contractual or agreed fee:

Reimbursements for expenses (please itemize:

Other (please explain):

‘Note: RIGL 22-10-2(0 requires disclosure i a dollar amount ofthe compensation for lobbying activity.

Dring this reporting period, have you made any expenditure or incurred any obligation of $25.00 or
‘more per occurence to promote of oppose any legislation, incuding but not limited to mailings, meals,
print or broadcast advertisements, or gifts? (yes or no) __ No

yes, please detail, including the names of the persons receiving and in whose behalf such
expenditures have been made, the amount, date, place, and reason forthe expenditure.

(indicate iF attached pages_)

List any changes of address or telephone numbers:

cent

S CUss TERE"
FORM,"TO; RH. ORCUTT SUBMISSION DATE:

FROM: OcT3 DEC 26

OCT 31 JAN 23 [_]

SUBJECT: HARLEY-DAVIDSON 100'S CIGARETTES PROGRESS REPORT

DISTRIBUTION: EFFECTIVENESS OF PRE-SELL (REPORT ON OCT. 3 ONLY).

DIRECT ACCOUNT AND CHAIN VOIDS (USE X TO INDICATE A VOID).

= x
ge Soe STORES:

a

TS,
00's]

% OF DISTRIBUTION ACHIEVED IN RETAIL OUTLETS:

BOF DISTRIBUTION ACHIEVED INFET{e
9% CLASSIFIED CALLS
% ANNUAL CALLS

PROMOTIONAL IMPACT;

$8.50 OFF PACK:

SALES FORCE 20'S:

$5.00 OFF CARTON:

1012

690SI1E16"
FORM,"LAURENCE, CHARLES, FREE & LAWSON, INC.
260 MADISON AVENUE, NEW YoRK, NY 100J6 (212) 213-4646

30-SHEET POSTI

PLEASE RETURN TWO (2) COPIES OF THE LOCATION LIST ALONS WITH THO (2) COPIES |
iF THIS COMPLETION REPORT FORM TO THE AITENTION OF TR. JOSEPH VAZQUE? AT THE

ABOVE ADDRESS ~

COMPLETION REPORT FORM

CONTRACT: __A-530-1059 _

CLIENT:_THE AMER,

TOBACCI

BRAND NAME: PALL MALL_REO LIGHTS

MARKET: agro, oH . _

PLANT OPERATOR: patréck Media Sraup, Inc.
SIZE SHOWING: 4&7 GRP -

; Ys sy
NUMBER OF PANELS: 4 if s
REGUL TCLUNITATED To
v.e.c,_9 34/1 $27.6
rs PLANT AVERAGE
PLAW ERAGE —_

DATE POSTERS RECEIVED FROM LITHOGRAPHER: bola
POSTER DESIGN: THe TESTS FRENKS THAGVGH __

SCHEDULED POSTING DATE: 7/16/89

pave posrine conmueteo: 7/2) /89

THIS WILL CERTIFY THAT I HAVE EXAMINED THE RECORDS OF OUR
BILLPOSTERS, AND VERIFY THAT ALL LOCATIONS LISTED ON THE
ATTACHED LOCATION LIST WERE PROPERLY POSTED WITH THE CORRECT
DESIGN WITHIN FIVE WORKING DAYS OF THE POSTING UATE ACCEPTFO
ON THE CONTRACT.

SIGHATURE L, TAG £4205
ant FatcerTPastihg nig Supt.

conte 2/25/59"
